127.0.0.1 - - [11/Dec/2024:10:03:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:03:49 +0900] "GET /ex05/access/login HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:04:03 +0900] "POST /ex05/access/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:04:03 +0900] "GET /ex05/ HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:04:09 +0900] "GET /ex05/access/login HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:04:21 +0900] "POST /ex05/access/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:04:21 +0900] "GET /ex05/ HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:04:27 +0900] "GET /ex05/ HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:04:36 +0900] "GET /ex05/example/main HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:04:42 +0900] "GET /ex05/access/login HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:04:47 +0900] "POST /ex05/access/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:04:47 +0900] "GET /ex05/ HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:05:35 +0900] "GET /ex05/example/member HTTP/1.1" 403 399
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:05:39 +0900] "GET /ex05/example/admin HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:05:45 +0900] "POST /ex05/access/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:05:45 +0900] "GET /ex05/access/login?logout HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:05:50 +0900] "POST /ex05/access/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:05:50 +0900] "GET /ex05/ HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:05:59 +0900] "GET /ex05/example/member HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:06:03 +0900] "GET /ex05/example/admin HTTP/1.1" 403 399
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:06:13 +0900] "GET /ex05/example/send HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:06:15 +0900] "GET /ex05/example/admin HTTP/1.1" 403 399
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:06:15 +0900] "GET /ex05/example/member HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:06:26 +0900] "GET /ex05/access/login HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:06:31 +0900] "POST /ex05/access/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:06:31 +0900] "GET /ex05/ HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:06:36 +0900] "GET /ex05/example/main HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:06:37 +0900] "GET /ex05/example/admin HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:06:40 +0900] "POST /ex05/access/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:06:40 +0900] "GET /ex05/access/login?logout HTTP/1.1" 200 820
